// ./ai-backend/documents/data.txt
Scrip	Buy Date	Buy Price	Sell Date	Sell Price	Quantity	Profit/Loss	% PnL							
FMGOETZE	9-Jun-25	509	6-Oct-25	505	20	-80	-0.8%							
GVT&D	9-Jun-25	2316	22-Apr-26	4235	4	7676	76.8%							
INDORAMA	9-Jun-25	52.85	24-Nov-25	52.02	189	-156.87	-1.6%							
KOLTEPATIL	9-Jun-25	465	24-Nov-25	390	22	-1650	-16.5%							
NAHARPOLY	9-Jun-25	355	25-Aug-25	289	28	-1848	-18.5%							
STYRENIX	9-Jun-25	3300	4-Aug-25	2825	3	-1425	-14.2%							
SUNFLAG	9-Jun-25	298	29-Sep-25	257	34	-1394	-13.9%							
DBREALTY	16-Jun-25	208	29-Sep-25	165	48	-2064	-20.6%							
SOUTHBANK	16-Jun-25	29.96	23-Mar-26	35.61	334	1887.1	18.9%							
SSWL	16-Jun-25	248	4-Aug-25	217	40	-1240	-12.4%							
SUBROS	16-Jun-25	831	11-Aug-25	811	12	-240	-2.4%							
GABRIEL	30-Jun-25	669	24-Nov-25	1027	15	5370	53.7%							
KIRLOSBROS	30-Jun-25	2300	27-Oct-25	1920	4	-1520	-15.2%							
NAVA	30-Jun-25	602	10-Nov-25	570	17	-544	-5.4%							
SANGAMIND	30-Jun-25	490	11-Aug-25	366	20	-2480	-24.8%							
KHAICHEM	7-Jul-25	100	17-Nov-25	95.18	100	-482	-4.8%							
PFOCUS	7-Jul-25	167.5	20-Apr-26	332	60	9870	98.7%							
RAYMOND	7-Jul-25	716	6-Oct-25	590	14	-1764	-17.6%							
TNPETRO	7-Jul-25	105	12-Jan-26	101	95	-380	-3.8%							
DATAMATICS	14-Jul-25	733	29-Sep-25	855	14	1708	17.1%							
ASHAPURMIN	21-Jul-25	572	27-Jan-26	685	17	1921	19.8%							
SAGCEM	21-Jul-25	267	27-Oct-25	228	37	-1443	-14.4%							
INSECTICID	28-Jul-25	1064	25-Aug-25	850	9	-1926	-19.3%							
TI	28-Jul-25	494	12-Jan-26	437	20	-1140	-11.4%							
FOSECOIND	4-Aug-25	5355	24-Nov-25	5175	2	-360	-3.6%							
SCHNEIDER	4-Aug-25	1000	13-Oct-25	829	10	-1710	-17.1%							
HBLENGINE	11-Aug-25	765	24-Nov-25	885	13	1560	15.6%							
JAYNECOIND	11-Aug-25	53.24	22-Apr-26	96.75	188	8179.88	81.8%							
KINGFA	18-Aug-25	3920	22-Apr-26	4845	3	2775	27.8%							
NAVNETEDUL	25-Aug-25	158	1-Dec-25	145	63	-819	-8.2%							
EVEREADY	8-Sep-25	467	20-Oct-25	364	21	-2163	-21.6%							
IMFA	8-Sep-25	990	27-Jan-26	1107	10	1170	11.7%							
IOLCP	15-Sep-25	116	27-Oct-25	93.17	86	-1963.38	-19.6%							
RAMCOIND	15-Sep-25	363	17-Nov-25	311	28	-1456	-14.6%							
BAJAJCON	22-Sep-25	256	22-Apr-26	471	39	8385	84.0%							
SUBROS	22-Sep-25	1004	17-Nov-25	894	10	-1100	-11.0%							
LGBBROSLTD	29-Sep-25	1411	22-Apr-26	1788	7	2639	26.4%							
WHEELS	29-Sep-25	880	19-Jan-26	775	11	-1155	-11.6%							
CHENNPETRO	6-Oct-25	784	29-Dec-25	830	13	598	5.9%							
TVSSRICHAK	20-Oct-25	4044	27-Jan-26	3859	2	-370	-3.7%							
DCBBANK	27-Oct-25	159	22-Apr-26	196	63	2331	23.3%							
JKTYRE	3-Nov-25	431	9-Mar-26	439	23	184	1.8%							
PUNJABCHEM	3-Nov-25	1493	29-Dec-25	1199	7	-2058	-20.6%							
VSTTILLERS	3-Nov-25	6080	16-Mar-26	4990	2	-2180	-21.8%							
DYNAMATECH	10-Nov-25	8549	22-Apr-26	11325	1	2776	27.8%							
THANGAMAYL	10-Nov-25	3400	20-Apr-26	4022	3	1866	18.7%							
NEULANDLAB	17-Nov-25	17540	19-Jan-26	14000	1	-3540	-35.4%							
KIRLOSENG	24-Nov-25	1163	22-Apr-26	1645	9	4338	43.4%							
MONTECARLO	24-Nov-25	821	5-Jan-26	648	12	-2076	-20.8%							
KTKBANK	1-Dec-25	214	12-Jan-26	189	47	-1175	-11.8%							
STYLAMIND	15-Dec-25	2210	20-Apr-26	2243	5	165	1.7%							
AUTOAXLES	5-Jan-26	1969	16-Mar-26	1756	5	-1065	-10.8%							
MMFL	19-Jan-26	425	22-Apr-26	520	24	2280	22.8%							
RAJRATAN	19-Jan-26	526	2-Feb-26	406	19	-2280	-22.8%							
NGLFINE	2-Feb-26	1730	20-Apr-26	2278	6	3288	32.9%							
CANTABIL	16-Feb-26	305	9-Mar-26	250	33	-1815	-18.0%							
GVPIL	16-Feb-26	479	30-Mar-26	400	21	-1659	-16.6%							
TDPOWERSYS	16-Feb-26	833	20-Apr-26	1062	12	2748	27.5%							
APARINDS	2-Mar-26	10500	20-Apr-26	11902	1	1402	13.4%							
MANGLMCEM	2-Mar-26	831	22-Apr-26	938	12	1284	12.8%							
KTKBANK	9-Mar-26	210	22-Apr-26	251	48	1968	19.7%							
CHENNPETRO	23-Mar-26	1064	22-Apr-26	1058	9	-54	-0.6%							
WHEELS	23-Mar-26	1038	20-Apr-26	1077	10	390	3.9%							
ANDHRSUGAR	20-Apr-26	87.01	22-Apr-26	94.11	115	816.5	8.2%							
GVPIL	20-Apr-26	500	22-Apr-26	499	20	-20	-0.2%							
VOLTAMP	20-Apr-26	10205	22-Apr-26	10884	1	679	6.8%
